end_period_ts,end_time,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,price_previous,price_min,price_max,volume,open_interest,price_close_prob
1762926360,2025-11-12 05:46:00+00:00,4,4,4,4,7,7,7,7,,,,,,7,,,0,20369,
1762928640,2025-11-12 06:24:00+00:00,4,4,4,4,7,7,7,7,,,,,,7,,,0,20369,
1762932060,2025-11-12 07:21:00+00:00,4,4,4,4,7,7,7,7,,,,,,7,,,0,20369,
1762932180,2025-11-12 07:23:00+00:00,4,4,4,4,7,7,7,7,,,,,,7,,,0,20369,
1762935420,2025-11-12 08:17:00+00:00,4,4,4,4,7,7,7,7,,,,,,7,,,0,20369,
1762937820,2025-11-12 08:57:00+00:00,4,4,4,4,7,7,7,7,,,,,,7,,,0,20369,
1762938600,2025-11-12 09:10:00+00:00,4,4,4,4,7,7,7,7,,,,,,7,,,0,20369,
1762941720,2025-11-12 10:02:00+00:00,4,4,4,4,7,7,7,7,,,,,,7,,,0,20369,
1762943520,2025-11-12 10:32:00+00:00,4,4,4,4,7,7,7,7,,,,,,7,,,0,20369,
1762944300,2025-11-12 10:45:00+00:00,4,4,4,4,7,8,7,8,,,,,,7,,,0,20369,
1762944840,2025-11-12 10:54:00+00:00,4,4,4,4,8,8,8,8,,,,,,7,,,0,20369,
1762948080,2025-11-12 11:48:00+00:00,4,4,4,4,8,8,8,8,,,,,,7,,,0,20369,
1762949280,2025-11-12 12:08:00+00:00,4,4,4,4,8,8,8,8,,,,,,7,,,0,20369,
1762953480,2025-11-12 13:18:00+00:00,4,4,4,4,8,8,8,8,,,,,,7,,,0,20369,
1762953900,2025-11-12 13:25:00+00:00,4,4,4,4,8,8,8,8,,,,,,7,,,0,20369,
1762954980,2025-11-12 13:43:00+00:00,4,4,4,4,8,8,8,8,,,,,,7,,,0,20369,
1762957500,2025-11-12 14:25:00+00:00,4,4,4,4,8,8,8,8,,,,,,7,,,0,20369,
1762959960,2025-11-12 15:06:00+00:00,4,4,3,4,8,8,8,8,,,,,,7,,,0,20369,
1762960740,2025-11-12 15:19:00+00:00,4,4,4,4,8,8,8,8,,,,,,7,,,0,20369,
1762961220,2025-11-12 15:27:00+00:00,4,4,4,4,8,8,8,8,,,,,,7,,,0,20369,
1762963320,2025-11-12 16:02:00+00:00,4,4,4,4,8,8,8,8,8.0,8.0,8.0,8.0,8.0,7,,,1,20369,0.08
1762966500,2025-11-12 16:55:00+00:00,4,4,4,4,8,8,8,8,,,,,,8,,,0,20369,
1762967400,2025-11-12 17:10:00+00:00,4,4,4,4,8,8,8,8,,,,,,8,,,0,20369,
1762969500,2025-11-12 17:45:00+00:00,4,4,4,4,8,8,7,7,,,,,,8,,,0,20369,
1762971480,2025-11-12 18:18:00+00:00,4,4,4,4,7,7,7,7,,,,,,8,,,0,20369,
1762972320,2025-11-12 18:32:00+00:00,4,4,4,4,7,7,7,7,,,,,,8,,,0,20369,
1762975680,2025-11-12 19:28:00+00:00,4,4,4,4,7,7,7,7,,,,,,8,,,0,20369,
1762977300,2025-11-12 19:55:00+00:00,4,4,4,4,7,8,7,8,,,,,,8,,,0,20369,
1762977780,2025-11-12 20:03:00+00:00,4,4,4,4,8,8,7,7,,,,,,8,,,0,20369,
1762978200,2025-11-12 20:10:00+00:00,4,4,4,4,7,7,7,7,,,,,,8,,,0,20369,
1762978440,2025-11-12 20:14:00+00:00,4,4,4,4,7,8,7,8,,,,,,8,,,0,20369,
1762978560,2025-11-12 20:16:00+00:00,4,4,4,4,8,8,7,8,,,,,,8,,,0,20369,
1762978740,2025-11-12 20:19:00+00:00,4,4,4,4,8,8,7,7,,,,,,8,,,0,20369,
1762979040,2025-11-12 20:24:00+00:00,4,4,4,4,7,8,7,8,7.0,7.0,7.0,7.0,7.0,8,,,25,20369,0.07
1762979220,2025-11-12 20:27:00+00:00,4,4,4,4,8,8,7,7,,,,,,7,,,0,20369,
1762983180,2025-11-12 21:33:00+00:00,4,4,4,4,7,7,7,7,,,,,,7,,,0,20369,
1762984080,2025-11-12 21:48:00+00:00,4,4,4,4,7,7,7,7,,,,,,7,,,0,20369,
1762987380,2025-11-12 22:43:00+00:00,4,4,4,4,7,7,7,7,,,,,,7,,,0,20369,
1762989420,2025-11-12 23:17:00+00:00,4,4,4,4,7,11,7,11,,,,,,7,,,0,20369,
1762989960,2025-11-12 23:26:00+00:00,4,4,4,4,11,11,11,11,,,,,,7,,,0,20369,
1762991100,2025-11-12 23:45:00+00:00,4,4,4,4,11,11,11,11,,,,,,7,,,0,20369,
1762992000,2025-11-13 00:00:00+00:00,4,4,4,4,11,11,11,11,,,,,,7,,,0,20369,
